# File: data/simulation/atmprof36.dat
# Provinance: Konrad Bernlohr's CTA PROD-3 sim_telarray package (retrieved 2016-11-08)
# - URL: https://www.mpi-hd.mpg.de/hfm/CTA/MC/Software/corsika_simtelarray_2016-06-30.tar.gz
#   -> sim_telarray_config.tar.gz
#   -> sim_telarray/cfg/CTA/atmprof36.dat
# Copyright notice: data/copyright/bernlohr_simtelarray_copyright.txt
# License: CC-BY-SA-4.0

# This is a model profile derived for the Tenerife CTA site candidate, using the measured
# and model profiles for Windhoek/the H.E.S.S. site as an indicator of a bias in
# the lower atmosphere profile of the NRLMSISE-00 model (which mainly aims at
# the upper atmosphere but provides reasonable results also in the troposphere and
# stratosphere). A compensation for such a bias was found to go to a geographic
# latitude some six to seven degrees closer to the equator.
#
# E.long = -16.540 deg, Lat.=22.000 deg, LST=0.0 h
# Latitude = 22.00000 deg, g=9.78756 (9.78756) m/s^2, reff=6340.949604 km
# Atmospheric Model from annual average NRLMSISE-00 model for east longitude -16.540, latitude 22.000
# H(200 g/cm^2) = 12.528 km, H(300 g/cm^2) = 9.842, H(400 g/cm^2) = 7.782, H(500 g/cm^2) = 6.097 km
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.19531e-03  1.04701e+03   2.76524e-04   297.83   1.02575e+03  1.00521e-02
    1.000     1.08455e-03  9.33089e+02   2.50813e-04   292.45   9.13343e+02  8.43966e-03
    2.000     9.82621e-04  8.29804e+02   2.27170e-04   286.98   8.11583e+02  6.98529e-03
    3.000     8.89126e-04  7.36285e+02   2.05495e-04   281.34   7.19572e+02  5.66803e-03
    4.000     8.03558e-04  6.51715e+02   1.85669e-04   275.47   6.36472e+02  4.48431e-03
    5.000     7.25363e-04  5.75329e+02   1.67562e-04   269.33   5.61504e+02  3.44044e-03
    6.000     6.53966e-04  5.06417e+02   1.51037e-04   262.89   4.93951e+02  2.54588e-03
    7.000     5.88793e-04  4.44329e+02   1.35961e-04   256.12   4.33152e+02  1.80729e-03
    8.000     5.29286e-04  3.88470e+02   1.22203e-04   249.02   3.78508e+02  1.22421e-03
    9.000     4.74921e-04  3.38301e+02   1.09640e-04   241.61   3.29472e+02  7.87084e-04
   10.000     4.25211e-04  2.93332e+02   9.81559e-05   233.92   2.85554e+02  4.77809e-04
   11.000     3.79521e-04  2.53125e+02   8.76043e-05   226.08   2.46315e+02  2.75489e-04
   12.000     3.36769e-04  2.17333e+02   7.77336e-05   218.69   2.11408e+02  1.58543e-04
   13.000     2.96353e-04  1.85697e+02   6.84036e-05   212.27   1.80572e+02  9.67126e-05
   14.000     2.58167e-04  1.57992e+02   5.95892e-05   207.24   1.53580e+02  6.63664e-05
   15.000     2.22383e-04  1.33987e+02   5.13294e-05   203.97   1.30202e+02  5.43379e-05
   16.000     1.89418e-04  1.13425e+02   4.37207e-05   202.65   1.10184e+02  5.52361e-05
   17.000     1.60026e-04  9.59850e+01   3.69358e-05   202.92   9.32094e+01  0.00000e+00
   18.000     1.34538e-04  8.12898e+01   3.10530e-05   204.34   7.89123e+01  0.00000e+00
   19.000     1.12886e-04  6.89496e+01   2.60554e-05   206.50   6.69103e+01  0.00000e+00
   20.000     9.47707e-05  5.85946e+01   2.18742e-05   208.96   5.68423e+01  0.00000e+00
   21.000     7.97559e-05  4.98916e+01   1.84086e-05   211.34   4.83834e+01  0.00000e+00
   22.000     6.72926e-05  4.25582e+01   1.55319e-05   213.60   4.12579e+01  0.00000e+00
   23.000     5.69084e-05  3.63638e+01   1.31351e-05   215.74   3.52409e+01  0.00000e+00
   24.000     4.82267e-05  3.11198e+01   1.11313e-05   217.79   3.01489e+01  0.00000e+00
   25.000     4.09455e-05  2.66717e+01   9.45072e-06   219.78   2.58310e+01  0.00000e+00
   26.000     3.48213e-05  2.28921e+01   8.03717e-06   221.74   2.21632e+01  0.00000e+00
   27.000     2.96567e-05  1.96754e+01   6.84513e-06   223.70   1.90428e+01  0.00000e+00
   28.000     2.52913e-05  1.69341e+01   5.83752e-06   225.69   1.63842e+01  0.00000e+00
   29.000     2.15935e-05  1.45949e+01   4.98403e-06   227.75   1.41164e+01  0.00000e+00
   30.000     1.84554e-05  1.25967e+01   4.25972e-06   229.92   1.21798e+01  0.00000e+00
   32.000     1.35171e-05  9.42594e+00   3.11990e-06   234.75   9.10824e+00  0.00000e+00
   34.000     9.93769e-06  7.09977e+00   2.29374e-06   240.36   6.85638e+00  0.00000e+00
   36.000     7.35111e-06  5.38483e+00   1.69672e-06   246.30   5.19717e+00  0.00000e+00
   38.000     5.47808e-06  4.11190e+00   1.26441e-06   252.24   3.96630e+00  0.00000e+00
   40.000     4.11643e-06  3.15961e+00   9.50121e-07   257.79   3.04599e+00  0.00000e+00
   42.000     3.12126e-06  2.44097e+00   7.20424e-07   262.51   2.35189e+00  0.00000e+00
   44.000     2.38908e-06  1.89362e+00   5.51429e-07   265.91   1.82354e+00  0.00000e+00
   46.000     1.84598e-06  1.47276e+00   4.26075e-07   267.52   1.41753e+00  0.00000e+00
   48.000     1.43779e-06  1.14626e+00   3.31858e-07   267.20   1.10275e+00  0.00000e+00
   50.000     1.12592e-06  8.91248e-01   2.59875e-07   265.19   8.57048e-01  0.00000e+00
   55.000     6.15654e-07  4.68630e-01   1.42100e-07   254.82   4.50314e-01  0.00000e+00
   60.000     3.31713e-07  2.38528e-01   7.65634e-08   240.73   2.29216e-01  0.00000e+00
   65.000     1.71890e-07  1.16473e-01   3.96743e-08   226.81   1.11908e-01  0.00000e+00
   70.000     8.47025e-08  5.46158e-02   1.95503e-08   215.55   5.24063e-02  0.00000e+00
   75.000     3.96962e-08  2.48147e-02   9.16236e-09   208.39   2.37448e-02  0.00000e+00
   80.000     1.80290e-08  1.10623e-02   4.16131e-09   204.08   1.05610e-02  0.00000e+00
   85.000     8.05526e-09  4.86687e-03   1.85925e-09   200.12   4.62709e-03  0.00000e+00
   90.000     3.57023e-09  2.10953e-03   8.24051e-10   194.40   1.99226e-03  0.00000e+00
   95.000     1.55834e-09  8.92896e-04   3.59683e-10   187.18   8.37267e-04  0.00000e+00
  100.000     6.49537e-10  3.71349e-04   1.49921e-10   185.94   3.46665e-04  0.00000e+00
  105.000     2.60470e-10  1.58242e-04   6.01195e-11   197.86   1.47934e-04  0.00000e+00
  110.000     1.06465e-10  7.24912e-05   2.45734e-11   224.77   6.86881e-05  0.00000e+00
  115.000     4.63674e-11  3.65728e-05   1.07022e-11   269.27   3.58376e-05  0.00000e+00
  120.000     2.20817e-11  2.03380e-05   5.09673e-12   334.36   2.11929e-05  0.00000e+00
