# File: data/simulation/atmprof_ecmwf_north_intermediate_fixed.dat
# Provinance: Konrad Bernlohr's CTA PROD-6 sim_telarray package (retrieved 2022-07-25)
# - URL: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/d464b55f8b3bc62e9524b51d8a94da7b77a5ff89/cfg/CTA/atmprof_ecmwf_north_intermediate_fixed.dat
# Copyright notice: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/ad8c9560089a092db45cbc07b14cdbf3c9cf22eb/Copyright
# License: CC-BY-SA-4.0
#
#
# ----------------------------------------------------------------------------------------
#
# New profile generated with the following command:
#    ./check_atmprof cfg/CTA/atmprof_ecmwf_north_intermediate_nexp.dat = 2.180 28.762166097 51 atmprof_ecmwf_north_intermediate_fixed.dat
#
# Primary profile: cfg/CTA/atmprof_ecmwf_north_intermediate_nexp.dat
# Secondary profile: cfg/CTA/atmprof_ecmwf_north_intermediate_nexp.dat
# Observation level (not part of profile): 2.180 km a.s.l.
# Geographic latitude: 28.762166 deg (for gravity).
# Switch-over from primary to secondary above 51.000 km a.s.l.
#
# ----------------------------------------------------------------------------------------
#
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.19783e-03  1.04346e+03   2.77522e-04   294.55   1.01934e+03  1.81745e-02
    1.000     1.08956e-03  9.29050e+02   2.52120e-04   288.79   9.07145e+02  1.25271e-02
    2.000     9.77169e-04  8.25783e+02   2.25760e-04   286.90   8.06159e+02  5.61007e-03
    3.000     8.82959e-04  7.32918e+02   2.03902e-04   281.94   7.15301e+02  3.63255e-03
    4.000     7.99014e-04  6.48881e+02   1.84474e-04   275.88   6.33142e+02  2.62982e-03
    5.000     7.22443e-04  5.72864e+02   1.66764e-04   269.39   5.58836e+02  1.84339e-03
    6.000     6.51993e-04  5.04194e+02   1.50483e-04   262.71   4.91740e+02  1.32498e-03
    7.000     5.87807e-04  4.42252e+02   1.35657e-04   255.58   4.31225e+02  9.66239e-04
    8.000     5.28923e-04  3.86457e+02   1.22059e-04   248.18   3.76752e+02  6.81084e-04
    9.000     4.74842e-04  3.36307e+02   1.09572e-04   240.54   3.27796e+02  4.48572e-04
   10.000     4.24924e-04  2.91349e+02   9.80496e-05   232.84   2.83921e+02  2.72434e-04
   11.000     3.78267e-04  2.51215e+02   8.72818e-05   225.50   2.44772e+02  1.55314e-04
   12.000     3.34477e-04  2.15599e+02   7.71773e-05   218.86   2.10064e+02  8.54175e-05
   13.000     2.93011e-04  1.84244e+02   6.76102e-05   213.48   1.79498e+02  4.81844e-05
   14.000     2.54109e-04  1.56914e+02   5.86355e-05   209.61   1.52850e+02  2.77233e-05
   15.000     2.18876e-04  1.33298e+02   5.05068e-05   206.70   1.29828e+02  1.60008e-05
   16.000     1.87620e-04  1.13004e+02   4.32956e-05   204.39   1.10052e+02  1.08723e-05
   17.000     1.59584e-04  9.56681e+01   3.68272e-05   203.46   9.31823e+01  9.39768e-06
   18.000     1.34582e-04  8.09869e+01   3.10584e-05   204.26   7.88937e+01  9.19940e-06
   19.000     1.13037e-04  6.86355e+01   2.60871e-05   206.11   6.68655e+01  9.31029e-06
   20.000     9.49207e-05  5.82647e+01   2.19066e-05   208.40   5.67752e+01  9.32545e-06
   21.000     7.98301e-05  4.95504e+01   1.84242e-05   210.79   4.82971e+01  8.92685e-06
   22.000     6.72866e-05  4.22139e+01   1.55295e-05   213.05   4.11458e+01  8.28635e-06
   23.000     5.68638e-05  3.60224e+01   1.31241e-05   215.20   3.51234e+01  8.01664e-06
   24.000     4.81735e-05  3.07834e+01   1.11185e-05   217.28   3.00430e+01  8.42875e-06
   25.000     4.08760e-05  2.63415e+01   9.43434e-06   219.31   2.57306e+01  8.77928e-06
   26.000     3.47441e-05  2.25693e+01   8.01912e-06   221.26   2.20660e+01  8.67229e-06
   27.000     2.95803e-05  1.93604e+01   6.82732e-06   223.10   1.89427e+01  8.15344e-06
