# File: data/simulation/atmprof_ecmwf_north_summer_fixed.dat
# Provinance: Konrad Bernlohr's CTA PROD-6 sim_telarray package (retrieved 2022-07-25)
# - URL: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/d464b55f8b3bc62e9524b51d8a94da7b77a5ff89/cfg/CTA/atmprof_ecmwf_north_summer_fixed.dat
# Copyright notice: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/ad8c9560089a092db45cbc07b14cdbf3c9cf22eb/Copyright
# License: CC-BY-SA-4.0
#
#
# ----------------------------------------------------------------------------------------
#
# New profile generated with the following command:
#    ./check_atmprof cfg/CTA/atmprof_ecmwf_north_summer_nexp.dat = 2.180 28.762166097 51 atmprof_ecmwf_north_summer_fixed.dat
#
# Primary profile: cfg/CTA/atmprof_ecmwf_north_summer_nexp.dat
# Secondary profile: cfg/CTA/atmprof_ecmwf_north_summer_nexp.dat
# Observation level (not part of profile): 2.180 km a.s.l.
# Geographic latitude: 28.762166 deg (for gravity).
# Switch-over from primary to secondary above 51.000 km a.s.l.
#
# ----------------------------------------------------------------------------------------
#
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.18431e-03  1.04150e+03   2.74477e-04   297.33   1.01793e+03  1.95769e-02
    1.000     1.06820e-03  9.28925e+02   2.47127e-04   294.63   9.07052e+02  1.15465e-02
    2.000     9.60110e-04  8.27643e+02   2.21834e-04   292.64   8.08016e+02  5.78910e-03
    3.000     8.72232e-04  7.36162e+02   2.01475e-04   286.57   7.18500e+02  4.57115e-03
    4.000     7.93642e-04  6.52917e+02   1.83286e-04   279.36   6.37115e+02  3.76341e-03
    5.000     7.20219e-04  5.77256e+02   1.66291e-04   272.21   5.63146e+02  2.79694e-03
    6.000     6.50223e-04  5.08767e+02   1.50090e-04   265.79   4.96223e+02  1.66000e-03
    7.000     5.85283e-04  4.47040e+02   1.35076e-04   259.47   4.35924e+02  9.28245e-04
    8.000     5.26089e-04  3.91517e+02   1.21405e-04   252.80   3.81711e+02  5.73268e-04
    9.000     4.72006e-04  3.41653e+02   1.08918e-04   245.86   3.33035e+02  3.40727e-04
   10.000     4.22501e-04  2.96962e+02   9.74916e-05   238.71   2.89420e+02  2.04528e-04
   11.000     3.76880e-04  2.57025e+02   8.69632e-05   231.59   2.50464e+02  1.22033e-04
   12.000     3.35172e-04  2.21455e+02   7.73390e-05   224.36   2.15791e+02  7.15025e-05
   13.000     2.96955e-04  1.89873e+02   6.85208e-05   217.13   1.85024e+02  4.25126e-05
   14.000     2.61334e-04  1.61979e+02   6.03023e-05   210.44   1.57813e+02  2.63805e-05
   15.000     2.27920e-04  1.37532e+02   5.25930e-05   204.84   1.33974e+02  1.72135e-05
   16.000     1.96295e-04  1.16335e+02   4.52967e-05   201.15   1.13309e+02  1.21860e-05
   17.000     1.66434e-04  9.82159e+01   3.84073e-05   200.30   9.56726e+01  1.03524e-05
   18.000     1.39219e-04  8.29618e+01   3.21282e-05   202.32   8.08373e+01  1.02117e-05
   19.000     1.15993e-04  7.02373e+01   2.67690e-05   205.59   6.84409e+01  9.05279e-06
   20.000     9.69867e-05  5.96210e+01   2.23834e-05   208.74   5.81063e+01  7.82158e-06
   21.000     8.14529e-05  5.07244e+01   1.87987e-05   211.56   4.94593e+01  8.41961e-06
   22.000     6.86368e-05  4.32402e+01   1.58411e-05   214.03   4.21647e+01  9.01676e-06
   23.000     5.80255e-05  3.69236e+01   1.33923e-05   216.24   3.60137e+01  8.75448e-06
   24.000     4.91988e-05  3.15756e+01   1.13552e-05   218.27   3.08233e+01  7.89431e-06
   25.000     4.17922e-05  2.70367e+01   9.64578e-06   220.22   2.64174e+01  7.16061e-06
   26.000     3.55629e-05  2.31779e+01   8.20810e-06   222.08   2.26697e+01  7.16888e-06
   27.000     3.03155e-05  1.98914e+01   6.99700e-06   223.80   1.94744e+01  7.85668e-06
   28.000     2.58767e-05  1.70880e+01   5.97255e-06   225.37   1.67394e+01  8.37728e-06
   29.000     2.21237e-05  1.46932e+01   5.10634e-06   226.85   1.44057e+01  8.52646e-06
   30.000     1.89494e-05  1.26439e+01   4.37369e-06   228.33   1.24193e+01  8.32938e-06
   32.000     1.39471e-05  9.38030e+00   3.21913e-06   231.61   9.27225e+00  7.57746e-06
   34.000     1.02643e-05  6.97807e+00   2.36912e-06   235.66   6.94324e+00  7.89694e-06
   36.000     7.57683e-06  5.20821e+00   1.74882e-06   240.38   5.22795e+00  7.74398e-06
   38.000     5.62648e-06  3.89839e+00   1.29866e-06   245.12   3.95872e+00  6.92471e-06
   40.000     4.21207e-06  2.92188e+00   9.72198e-07   249.42   3.01560e+00  7.42465e-06
   42.000     3.17372e-06  2.18879e+00   7.32536e-07   253.06   2.30533e+00  7.70460e-06
   44.000     2.41097e-06  1.63372e+00   5.56483e-07   256.12   1.77248e+00  6.53683e-06
   46.000     1.84647e-06  1.21214e+00   4.26188e-07   258.79   1.37164e+00  4.89872e-06
   48.000     1.40999e-06  8.83807e-01   3.25445e-07   261.26   1.05738e+00  6.13261e-06
   50.000     8.50702e-07  6.61022e-01   1.96353e-07   266.34   6.50368e-01  0.00000e+00
   55.000     4.66298e-07  3.60817e-01   1.07627e-07   257.19   3.44241e-01  0.00000e+00
   60.000     2.52566e-07  1.83194e-01   5.82954e-08   242.81   1.76030e-01  0.00000e+00
   65.000     1.32151e-07  9.03202e-02   3.05021e-08   227.93   8.64604e-02  0.00000e+00
   70.000     6.56350e-08  4.25187e-02   1.51494e-08   215.90   4.06756e-02  0.00000e+00
   75.000     3.09129e-08  1.93792e-02   7.13508e-09   208.66   1.85150e-02  0.00000e+00
   80.000     1.40522e-08  8.66404e-03   3.24344e-09   205.11   8.27328e-03  0.00000e+00
   85.000     6.30565e-09  3.82886e-03   1.45542e-09   202.12   3.65834e-03  0.00000e+00
   90.000     2.82640e-09  1.66064e-03   6.52368e-10   196.26   1.59225e-03  0.00000e+00
   95.000     1.24646e-09  6.92555e-04   2.87698e-10   187.55   6.71026e-04  0.00000e+00
  100.000     5.16857e-10  2.75794e-04   1.19297e-10   185.38   2.75029e-04  0.00000e+00
  105.000     2.03622e-10  1.07322e-04   4.69986e-11   197.19   1.15254e-04  0.00000e+00
  110.000     8.13907e-11  4.09499e-05   1.87860e-11   224.14   5.23648e-05  0.00000e+00
  115.000     3.45809e-11  1.36064e-05   7.98171e-12   268.51   2.66528e-05  0.00000e+00
  120.000     2.09745e-11  0.00000e+00   4.84118e-12   333.43   0.00000e+00  0.00000e+00
