# File: data/simulation/atmprof_ecmwf_north_winter_fixed.dat
# Provinance: Konrad Bernlohr's CTA PROD-6 sim_telarray package (retrieved 2022-07-25)
# - URL: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/d464b55f8b3bc62e9524b51d8a94da7b77a5ff89/cfg/CTA/atmprof_ecmwf_north_winter_fixed.dat
# Copyright notice: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/ad8c9560089a092db45cbc07b14cdbf3c9cf22eb/Copyright
# License: CC-BY-SA-4.0
#
#
# ----------------------------------------------------------------------------------------
#
# New profile generated with the following command:
#    ./check_atmprof cfg/CTA/atmprof_ecmwf_north_winter_nexp.dat = 2.180 28.762166097 51 atmprof_ecmwf_north_winter_fixed.dat
#
# Primary profile: cfg/CTA/atmprof_ecmwf_north_winter_nexp.dat
# Secondary profile: cfg/CTA/atmprof_ecmwf_north_winter_nexp.dat
# Observation level (not part of profile): 2.180 km a.s.l.
# Geographic latitude: 28.762166 deg (for gravity).
# Switch-over from primary to secondary above 51.000 km a.s.l.
#
# ----------------------------------------------------------------------------------------
#
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.21171e-03  1.04473e+03   2.80503e-04   291.91   1.02049e+03  1.45399e-02
    1.000     1.10668e-03  9.28757e+02   2.55945e-04   284.50   9.06892e+02  1.03318e-02
    2.000     9.94136e-04  8.23744e+02   2.29611e-04   281.43   8.04127e+02  4.46223e-03
    3.000     8.95722e-04  7.29383e+02   2.06790e-04   276.70   7.11833e+02  2.55844e-03
    4.000     8.08841e-04  6.44231e+02   1.86701e-04   270.66   6.28579e+02  1.82703e-03
    5.000     7.30269e-04  5.67337e+02   1.68543e-04   263.99   5.53420e+02  1.29175e-03
    6.000     6.58524e-04  4.97953e+02   1.51971e-04   256.92   4.85628e+02  9.47299e-04
    7.000     5.93128e-04  4.35418e+02   1.36870e-04   249.39   4.24535e+02  6.73194e-04
    8.000     5.32869e-04  3.79158e+02   1.22958e-04   241.70   3.69612e+02  4.49556e-04
    9.000     4.77143e-04  3.28692e+02   1.10095e-04   233.97   3.20350e+02  2.75636e-04
   10.000     4.25150e-04  2.83604e+02   9.80958e-05   226.53   2.76354e+02  1.55311e-04
   11.000     3.75757e-04  2.43576e+02   8.66992e-05   220.09   2.37303e+02  8.52928e-05
   12.000     3.28019e-04  2.08398e+02   7.56860e-05   215.70   2.03027e+02  4.98602e-05
   13.000     2.82320e-04  1.77911e+02   6.51440e-05   213.90   1.73291e+02  3.03541e-05
   14.000     2.41912e-04  1.51754e+02   5.58221e-05   212.90   1.47800e+02  1.62245e-05
   15.000     2.08124e-04  1.29303e+02   4.80269e-05   210.82   1.25914e+02  9.87255e-06
   16.000     1.79307e-04  1.09964e+02   4.13780e-05   208.08   1.07076e+02  8.42631e-06
   17.000     1.53602e-04  9.33403e+01   3.54470e-05   206.20   9.08989e+01  8.19327e-06
   18.000     1.30524e-04  7.91567e+01   3.01220e-05   205.79   7.70883e+01  8.38590e-06
   19.000     1.10293e-04  6.71401e+01   2.54539e-05   206.57   6.53885e+01  8.84885e-06
   20.000     9.29470e-05  5.70017e+01   2.14511e-05   208.15   5.55278e+01  9.09807e-06
   21.000     7.83219e-05  4.84597e+01   1.80762e-05   210.03   4.72136e+01  8.83196e-06
   22.000     6.60881e-05  4.12576e+01   1.52529e-05   211.90   4.01942e+01  8.53126e-06
   23.000     5.58708e-05  3.51749e+01   1.28950e-05   213.77   3.42806e+01  8.58099e-06
   24.000     4.73127e-05  3.00282e+01   1.09199e-05   215.68   2.92889e+01  9.01896e-06
   25.000     4.01082e-05  2.56674e+01   9.25712e-06   217.63   2.50542e+01  9.30192e-06
   26.000     3.40466e-05  2.19684e+01   7.85813e-06   219.60   2.14602e+01  9.22979e-06
   27.000     2.89359e-05  1.88265e+01   6.67860e-06   221.54   1.84000e+01  8.83703e-06
   28.000     2.46215e-05  1.61547e+01   5.68283e-06   223.45   1.57920e+01  8.34625e-06
   29.000     2.09871e-05  1.38795e+01   4.84401e-06   225.40   1.35781e+01  8.10108e-06
   30.000     1.79246e-05  1.19382e+01   4.13716e-06   227.42   1.17009e+01  8.43483e-06
   32.000     1.31167e-05  8.85979e+00   3.02748e-06   231.90   8.73111e+00  1.00289e-05
   34.000     9.62403e-06  6.60454e+00   2.22134e-06   236.87   6.54356e+00  9.39604e-06
   36.000     7.10790e-06  4.94503e+00   1.64059e-06   241.90   4.93547e+00  8.92709e-06
   38.000     5.28634e-06  3.71535e+00   1.22015e-06   246.73   3.74393e+00  8.77766e-06
   40.000     3.95996e-06  2.79750e+00   9.14008e-07   251.38   2.85735e+00  9.17987e-06
   42.000     2.98217e-06  2.10841e+00   6.88323e-07   255.81   2.18974e+00  8.97274e-06
   44.000     2.26712e-06  1.58687e+00   5.23281e-07   259.73   1.69022e+00  8.11507e-06
   46.000     1.74046e-06  1.18966e+00   4.01720e-07   262.82   1.31299e+00  7.83034e-06
   48.000     1.33205e-06  8.80868e-01   3.07454e-07   264.74   1.01223e+00  8.03610e-06
   50.000     8.52173e-07  6.65009e-01   1.96692e-07   266.34   6.51492e-01  0.00000e+00
   55.000     4.66214e-07  3.60264e-01   1.07608e-07   257.19   3.44179e-01  0.00000e+00
   60.000     2.52664e-07  1.83335e-01   5.83180e-08   242.81   1.76098e-01  0.00000e+00
   65.000     1.32180e-07  9.03297e-02   3.05087e-08   227.93   8.64791e-02  0.00000e+00
   70.000     6.56526e-08  4.25314e-02   1.51535e-08   215.90   4.06865e-02  0.00000e+00
   75.000     3.09207e-08  1.93839e-02   7.13689e-09   208.66   1.85197e-02  0.00000e+00
   80.000     1.40559e-08  8.66629e-03   3.24427e-09   205.11   8.27541e-03  0.00000e+00
   85.000     6.30726e-09  3.82984e-03   1.45580e-09   202.12   3.65928e-03  0.00000e+00
   90.000     2.82712e-09  1.66107e-03   6.52535e-10   196.26   1.59265e-03  0.00000e+00
   95.000     1.24678e-09  6.92732e-04   2.87772e-10   187.55   6.71198e-04  0.00000e+00
  100.000     5.16989e-10  2.75865e-04   1.19328e-10   185.38   2.75100e-04  0.00000e+00
  105.000     2.03675e-10  1.07349e-04   4.70107e-11   197.19   1.15283e-04  0.00000e+00
  110.000     8.14116e-11  4.09604e-05   1.87908e-11   224.14   5.23782e-05  0.00000e+00
  115.000     3.45898e-11  1.36099e-05   7.98376e-12   268.51   2.66596e-05  0.00000e+00
  120.000     2.09799e-11  0.00000e+00   4.84242e-12   333.43   0.00000e+00  0.00000e+00
