# File: data/simulation/qe_R12992-100-05b.dat
# Provinance: Konrad Bernlohr's CTA PROD-6 sim_telarray package (retrieved 2022-07-25)
# - URL: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/ad8c9560089a092db45cbc07b14cdbf3c9cf22eb/cfg/CTA/qe_R12992-100-05b.dat
# Copyright notice: https://gitlab.cta-observatory.org/Konrad.Bernloehr/sim_telarray/-/blob/ad8c9560089a092db45cbc07b14cdbf3c9cf22eb/Copyright
# License: CC-BY-SA-4.0
#
# Average quantum efficiency of 382 PMTs of Hamamatsu type R12992-100-05 in 420 measurements.
# Data from Oleg Kalekin, University Erlangen, March 2018.
# Based on measurements in a circle of 10 mm diameter in the center of the cathode,
# limited by the size of the reference photodiode.
# (Note that some tubes have a dip in sensitivity in the center while
# most are relatively flat in response. Not sure if this is representative (K.B.).)
#
# Col. 1: wavelength [nm]
# Col. 2: average QE [0...1]
# Col. 3: r.m.s. of individual QE values (not used by sim_telarray)
# Col. 4: r.m.s. of QE values after normalizing each PMT to the same
#         mean value in the 350-450 nm range (not used by sim_telarray)
#
# W.l.		QE         	#	sigma      	sigma_r
# ----		------     	#	------     	-------
210   0.0
220   0.0
230   0.0           #  (enforce QE going down to zero due to absorption in glass window)
250		0.0818886     # 0.021787  	0.0209281
255		0.0939379     #	0.021201  	0.0201079
260		0.108774     	#	0.0217323  	0.0207911
265		0.125239     	#	0.0203261  	0.0190779
270		0.143531     	#	0.0196813  	0.0185265
275		0.172292     	#	0.0194255  	0.0179313
280		0.204453     	#	0.0195648  	0.0175941
285		0.234614     	#	0.019441  	0.0168335
290		0.261815     	#	0.0196895  	0.0164076
295		0.283185     	#	0.0197039  	0.0155732
300		0.296615     	#	0.019815  	0.014821
305		0.307959     	#	0.0200188  	0.0140263
310		0.31767     	#	0.0205694  	0.013171
315		0.325178     	#	0.0208843  	0.0125085
320		0.332991     	#	0.0212071  	0.0118369
325		0.343457     	#	0.0216168  	0.0113984
330		0.354165     	#	0.0222077  	0.0109165
335		0.36105     	#	0.0224546  	0.0100862
340		0.363635     	#	0.022478  	0.00930065
345		0.363309     	#	0.0224919  	0.00859297
350		0.361762     	#	0.0225726  	0.00783066
355		0.360855     	#	0.0226696  	0.00719767
360		0.362325     	#	0.0230128  	0.00643007
365		0.367381     	#	0.0237033  	0.005764
370		0.375693     	#	0.0244959  	0.00501663
375		0.384741     	#	0.0255831  	0.00437187
380		0.39044     	#	0.0262772  	0.00349732
385		0.393774     	#	0.0268758  	0.00264525
390		0.394982     	#	0.0273691  	0.00184838
395		0.393193     	#	0.0277716  	0.00173867
400		0.389664     	#	0.0280295  	0.00192118
405		0.386041     	#	0.0282671  	0.00258088
410		0.38243     	#	0.0285469  	0.00342782
415		0.3784     	#	0.0288316  	0.00434976
420		0.374011     	#	0.0290015  	0.00515562
425		0.369019     	#	0.0291316  	0.00595933
430		0.363354     	#	0.0291361  	0.00662423
435		0.357448     	#	0.029005  	0.00716008
440		0.351572     	#	0.0291053  	0.00777786
445		0.345754     	#	0.0291536  	0.00828009
450		0.33911     	#	0.0291004  	0.00854698
455		0.329952     	#	0.0287064  	0.00852706
460		0.317899     	#	0.0278813  	0.00858164
465		0.303786     	#	0.0267336  	0.00850263
470		0.289969     	#	0.0255566  	0.00817806
475		0.277766     	#	0.024524  	0.00782407
480		0.267441     	#	0.0238003  	0.00779777
485		0.258627     	#	0.023143  	0.00773003
490		0.251829     	#	0.0227512  	0.00777847
495		0.245976     	#	0.0224506  	0.00797083
500		0.24078     	#	0.0224381  	0.00817454
505		0.234528     	#	0.022685  	0.00875734
510		0.225942     	#	0.0233996  	0.0105549
515		0.21288     	#	0.0245415  	0.0138248
520		0.194423     	#	0.0247142  	0.0161342
525		0.172919     	#	0.0225994  	0.0156182
530		0.153248     	#	0.0191202  	0.0130149
535		0.137555     	#	0.0158535  	0.0101349
540		0.125647     	#	0.0136328  	0.00817634
545		0.116511     	#	0.0123964  	0.00728824
550		0.109241     	#	0.0117194  	0.00704886
555		0.10321     	#	0.0113716  	0.00709873
560		0.0979524     	#	0.0111615  	0.00727674
565		0.0932636     	#	0.0110686  	0.00753142
570		0.0888079     	#	0.0109747  	0.00776551
575		0.084424     	#	0.0109103  	0.00797872
580		0.080071     	#	0.0108189  	0.00813537
585		0.075525     	#	0.0106973  	0.00824889
590		0.0710969     	#	0.0105575  	0.00831372
595		0.066616     	#	0.0103708  	0.00836454
600		0.062191     	#	0.010187  	0.00837093
605		0.058074     	#	0.0100041  	0.00834658
610		0.0539486     	#	0.00978836  	0.00827422
615		0.0500819     	#	0.00963943  	0.0082458
620		0.0461419     	#	0.00930481  	0.00803933
625		0.0424419     	#	0.00898987  	0.00783479
630		0.0388429     	#	0.00865694  	0.00761077
635		0.0354064     	#	0.00825126  	0.00729665
640		0.0319362     	#	0.00787382  	0.00702893
645		0.0288636     	#	0.00727563  	0.00649697
650		0.0258871     	#	0.00674113  	0.00603088
655		0.022994     	#	0.00617564  	0.00553706
660		0.0207012     	#	0.00566421  	0.00509066
665		0.0186464     	#	0.00515624  	0.00465584
670		0.0160931     	#	0.00454855  	0.00409972
675		0.0136905     	#	0.00394364  	0.00355641
680		0.0115776     	#	0.00334211  	0.0030047
685		0.00972286     	#	0.0028516  	0.00256926
690		0.00786738     	#	0.00237019  	0.00214033
695		0.00677048     	#	0.0020359  	0.00185627
700		0.00594595     	#	0.0017154  	0.00156224
