LECROYWR6050,10702,Histogram 
 Segments,1,SegmentSize,200 
 Segment,TrigTime,TimeSinceSegment1 
 #1,02-Jun-2017 12:16:09,0 
 Time,Ampl 
-200.0,0 
-195.6,0 
-191.2,0 
-186.8,0 
-182.4,0 
-178.0,0 
-173.6,0 
-169.2,0 
-164.8,0 
-160.4,0 
-156.0,0 
-151.6,0 
-147.2,0 
-142.8,0 
-138.4,0 
-134.0,0 
-129.6,0 
-125.2,0 
-120.8,0 
-116.4,0 
-112.0,0 
-107.6,0 
-103.2,0 
-98.8,0 
-94.4,0 
-90.0,0 
-85.6,0 
-81.2,0 
-76.8,0 
-72.4,0 
-68.0,2 
-63.6,0 
-59.2,1 
-54.8,4 
-50.4,10 
-46.0,24 
-41.6,40 
-37.2,97 
-32.8,179 
-28.4,288 
-24.0,464 
-19.6,628 
-15.2,885 
-10.8,961 
-6.4,1096 
-2.0,1215 
2.4,1144 
6.8,1060 
11.2,883 
15.6,694 
20.0,479 
24.4,366 
28.8,211 
33.2,152 
37.6,104 
42.0,97 
46.4,68 
50.8,61 
55.2,66 
59.6,50 
64.0,65 
68.4,71 
72.8,57 
77.2,40 
81.6,53 
86.0,51 
90.4,74 
94.8,62 
99.2,60 
103.6,56 
108.0,74 
112.4,50 
116.8,65 
121.2,65 
125.6,73 
130.0,68 
134.4,56 
138.8,51 
143.2,63 
147.6,56 
152.0,76 
156.4,76 
160.8,66 
165.2,80 
169.6,82 
174.0,86 
178.4,101 
182.8,87 
187.2,92 
191.6,108 
196.0,100 
200.4,123 
204.8,129 
209.2,106 
213.6,120 
218.0,132 
222.4,149 
226.8,170 
231.2,140 
235.6,155 
240.0,145 
244.4,174 
248.8,186 
253.2,180 
257.6,186 
262.0,207 
266.4,203 
270.8,173 
275.2,197 
279.6,206 
284.0,217 
288.4,204 
292.8,212 
297.2,219 
301.6,210 
306.0,225 
310.4,216 
314.8,210 
319.2,206 
323.6,238 
328.0,187 
332.4,191 
336.8,182 
341.2,198 
345.6,204 
350.0,180 
354.4,202 
358.8,186 
363.2,183 
367.6,172 
372.0,154 
376.4,144 
380.8,164 
385.2,149 
389.6,147 
394.0,125 
398.4,130 
402.8,128 
407.2,142 
411.6,126 
416.0,124 
420.4,112 
424.8,106 
429.2,85 
433.6,107 
438.0,104 
442.4,111 
446.8,91 
451.2,66 
455.6,97 
460.0,80 
464.4,74 
468.8,76 
473.2,81 
477.6,73 
482.0,83 
486.4,61 
490.8,82 
495.2,76 
499.6,75 
504.0,86 
508.4,82 
512.8,70 
517.2,58 
521.6,64 
526.0,73 
530.4,71 
534.8,65 
539.2,78 
543.6,67 
548.0,85 
552.4,69 
556.8,82 
561.2,70 
565.6,73 
570.0,68 
574.4,83 
578.8,79 
583.2,67 
587.6,63 
592.0,78 
596.4,67 
600.8,73 
605.2,85 
609.6,64 
614.0,84 
618.4,72 
622.8,95 
627.2,74 
631.6,79 
636.0,74 
640.4,71 
